"rgn_id","sector","year","value"
1,"cf",2003,18890.2396612358
2,"cf",2003,18890.2396612358
3,"cf",2003,18890.2396612358
4,"cf",2003,18890.2396612358
5,"cf",2003,18890.2396612358
6,"cf",2003,18890.2396612358
7,"cf",2003,18890.2396612358
8,"cf",2003,18890.2396612358
9,"cf",2003,18890.2396612358
10,"cf",2003,18890.2396612358
11,"cf",2003,18890.2396612358
1,"cf",2004,19213.3775151352
2,"cf",2004,19213.3775151352
3,"cf",2004,19213.3775151352
4,"cf",2004,19213.3775151352
5,"cf",2004,19213.3775151352
6,"cf",2004,19213.3775151352
7,"cf",2004,19213.3775151352
8,"cf",2004,19213.3775151352
9,"cf",2004,19213.3775151352
10,"cf",2004,19213.3775151352
11,"cf",2004,19213.3775151352
1,"cf",2005,19887.712005876
2,"cf",2005,19887.712005876
3,"cf",2005,19887.712005876
4,"cf",2005,19887.712005876
5,"cf",2005,19887.712005876
6,"cf",2005,19887.712005876
7,"cf",2005,19887.712005876
8,"cf",2005,19887.712005876
9,"cf",2005,19887.712005876
10,"cf",2005,19887.712005876
11,"cf",2005,19887.712005876
1,"cf",2006,26020.1433404558
2,"cf",2006,26020.1433404558
3,"cf",2006,26020.1433404558
4,"cf",2006,26020.1433404558
5,"cf",2006,26020.1433404558
6,"cf",2006,26020.1433404558
7,"cf",2006,26020.1433404558
8,"cf",2006,26020.1433404558
9,"cf",2006,26020.1433404558
10,"cf",2006,26020.1433404558
11,"cf",2006,26020.1433404558
1,"cf",2007,35464.5265758547
2,"cf",2007,35464.5265758547
3,"cf",2007,35464.5265758547
4,"cf",2007,35464.5265758547
5,"cf",2007,35464.5265758547
6,"cf",2007,35464.5265758547
7,"cf",2007,35464.5265758547
8,"cf",2007,35464.5265758547
9,"cf",2007,35464.5265758547
10,"cf",2007,35464.5265758547
11,"cf",2007,35464.5265758547
1,"cf",2008,29320.9440660613
2,"cf",2008,29320.9440660613
3,"cf",2008,29320.9440660613
4,"cf",2008,29320.9440660613
5,"cf",2008,29320.9440660613
6,"cf",2008,29320.9440660613
7,"cf",2008,29320.9440660613
8,"cf",2008,29320.9440660613
9,"cf",2008,29320.9440660613
10,"cf",2008,29320.9440660613
11,"cf",2008,29320.9440660613
1,"ph",2002,15095.1508524751
2,"ph",2002,15095.1508524751
3,"ph",2002,15095.1508524751
4,"ph",2002,15095.1508524751
5,"ph",2002,15095.1508524751
6,"ph",2002,15095.1508524751
7,"ph",2002,15095.1508524751
8,"ph",2002,15095.1508524751
9,"ph",2002,15095.1508524751
10,"ph",2002,15095.1508524751
11,"ph",2002,15095.1508524751
1,"ph",2004,19506.0402199075
2,"ph",2004,19506.0402199075
3,"ph",2004,19506.0402199075
4,"ph",2004,19506.0402199075
5,"ph",2004,19506.0402199075
6,"ph",2004,19506.0402199075
7,"ph",2004,19506.0402199075
8,"ph",2004,19506.0402199075
9,"ph",2004,19506.0402199075
10,"ph",2004,19506.0402199075
11,"ph",2004,19506.0402199075
1,"ph",2005,43438.5934161324
2,"ph",2005,43438.5934161324
3,"ph",2005,43438.5934161324
4,"ph",2005,43438.5934161324
5,"ph",2005,43438.5934161324
6,"ph",2005,43438.5934161324
7,"ph",2005,43438.5934161324
8,"ph",2005,43438.5934161324
9,"ph",2005,43438.5934161324
10,"ph",2005,43438.5934161324
11,"ph",2005,43438.5934161324
1,"ph",2006,39131.5076344374
2,"ph",2006,39131.5076344374
3,"ph",2006,39131.5076344374
4,"ph",2006,39131.5076344374
5,"ph",2006,39131.5076344374
6,"ph",2006,39131.5076344374
7,"ph",2006,39131.5076344374
8,"ph",2006,39131.5076344374
9,"ph",2006,39131.5076344374
10,"ph",2006,39131.5076344374
11,"ph",2006,39131.5076344374
1,"ph",2007,34343.040531517
2,"ph",2007,34343.040531517
3,"ph",2007,34343.040531517
4,"ph",2007,34343.040531517
5,"ph",2007,34343.040531517
6,"ph",2007,34343.040531517
7,"ph",2007,34343.040531517
8,"ph",2007,34343.040531517
9,"ph",2007,34343.040531517
10,"ph",2007,34343.040531517
11,"ph",2007,34343.040531517
1,"ph",2008,37635.8868634258
2,"ph",2008,37635.8868634258
3,"ph",2008,37635.8868634258
4,"ph",2008,37635.8868634258
5,"ph",2008,37635.8868634258
6,"ph",2008,37635.8868634258
7,"ph",2008,37635.8868634258
8,"ph",2008,37635.8868634258
9,"ph",2008,37635.8868634258
10,"ph",2008,37635.8868634258
11,"ph",2008,37635.8868634258
1,"sb",1997,18812.6933649395
2,"sb",1997,18812.6933649395
3,"sb",1997,18812.6933649395
4,"sb",1997,18812.6933649395
5,"sb",1997,18812.6933649395
6,"sb",1997,18812.6933649395
7,"sb",1997,18812.6933649395
8,"sb",1997,18812.6933649395
9,"sb",1997,18812.6933649395
10,"sb",1997,18812.6933649395
11,"sb",1997,18812.6933649395
1,"sb",2005,21789.0541533119
2,"sb",2005,21789.0541533119
3,"sb",2005,21789.0541533119
4,"sb",2005,21789.0541533119
5,"sb",2005,21789.0541533119
6,"sb",2005,21789.0541533119
7,"sb",2005,21789.0541533119
8,"sb",2005,21789.0541533119
9,"sb",2005,21789.0541533119
10,"sb",2005,21789.0541533119
11,"sb",2005,21789.0541533119
1,"tour",2003,50923.739093661
2,"tour",2003,50923.739093661
3,"tour",2003,50923.739093661
4,"tour",2003,50923.739093661
5,"tour",2003,50923.739093661
6,"tour",2003,50923.739093661
7,"tour",2003,50923.739093661
8,"tour",2003,50923.739093661
9,"tour",2003,50923.739093661
10,"tour",2003,50923.739093661
11,"tour",2003,50923.739093661
1,"tour",2004,61978.5684873574
2,"tour",2004,61978.5684873574
3,"tour",2004,61978.5684873574
4,"tour",2004,61978.5684873574
5,"tour",2004,61978.5684873574
6,"tour",2004,61978.5684873574
7,"tour",2004,61978.5684873574
8,"tour",2004,61978.5684873574
9,"tour",2004,61978.5684873574
10,"tour",2004,61978.5684873574
11,"tour",2004,61978.5684873574
1,"tour",2005,62888.3727853453
2,"tour",2005,62888.3727853453
3,"tour",2005,62888.3727853453
4,"tour",2005,62888.3727853453
5,"tour",2005,62888.3727853453
6,"tour",2005,62888.3727853453
7,"tour",2005,62888.3727853453
8,"tour",2005,62888.3727853453
9,"tour",2005,62888.3727853453
10,"tour",2005,62888.3727853453
11,"tour",2005,62888.3727853453
1,"tour",2006,67367.0066550927
2,"tour",2006,67367.0066550927
3,"tour",2006,67367.0066550927
4,"tour",2006,67367.0066550927
5,"tour",2006,67367.0066550927
6,"tour",2006,67367.0066550927
7,"tour",2006,67367.0066550927
8,"tour",2006,67367.0066550927
9,"tour",2006,67367.0066550927
10,"tour",2006,67367.0066550927
11,"tour",2006,67367.0066550927
1,"tour",2007,78447.2197182159
2,"tour",2007,78447.2197182159
3,"tour",2007,78447.2197182159
4,"tour",2007,78447.2197182159
5,"tour",2007,78447.2197182159
6,"tour",2007,78447.2197182159
7,"tour",2007,78447.2197182159
8,"tour",2007,78447.2197182159
9,"tour",2007,78447.2197182159
10,"tour",2007,78447.2197182159
11,"tour",2007,78447.2197182159
1,"tour",2008,79921.5119190706
2,"tour",2008,79921.5119190706
3,"tour",2008,79921.5119190706
4,"tour",2008,79921.5119190706
5,"tour",2008,79921.5119190706
6,"tour",2008,79921.5119190706
7,"tour",2008,79921.5119190706
8,"tour",2008,79921.5119190706
9,"tour",2008,79921.5119190706
10,"tour",2008,79921.5119190706
11,"tour",2008,79921.5119190706
