"rgn_id","year","jobs"
1,1990,2103115.35027116
2,1990,354597.174398755
3,1990,1038948.90829205
4,1990,7322949.60623432
5,1990,943399.571421594
6,1990,2861099.88716512
7,1990,10739.1653771915
8,1990,1559.41321313672
9,1990,55.210801248089
10,1990,79754.4122047777
11,1990,3851.16076054883
1,1991,2117220.37469503
2,1991,356975.361503369
3,1991,1045916.85692346
4,1991,7372062.64372767
5,1991,949726.696557481
6,1991,2880288.508361
7,1991,10811.1900476014
8,1991,1569.87177474408
9,1991,55.5810851224212
10,1991,80289.3034231385
11,1991,3876.9894515813
1,1992,2111957.51197546
2,1992,356088.013004216
3,1992,1043316.9779029
4,1992,7353737.6010832
5,1992,947365.921418135
6,1992,2873128.85545314
7,1992,10784.3162229699
8,1992,1565.96947919821
9,1992,55.4429249080664
10,1992,80089.7249631839
11,1992,3867.35225769597
1,1993,2126501.48220467
2,1993,358540.208860783
3,1993,1050501.76783366
4,1993,7404379.02740789
5,1993,953889.94554227
6,1993,2892914.62306516
7,1993,10858.5822880777
8,1993,1576.75350934851
9,1993,55.8247319495011
10,1993,80641.2618993795
11,1993,3893.98473291522
1,1994,2142395.39024012
2,1994,361220.011886706
3,1994,1058353.43341149
4,1994,7459720.87424224
5,1994,961019.514553746
6,1994,2914536.86003897
7,1994,10939.741558234
8,1994,1588.53848833013
9,1994,56.2419774408087
10,1994,81243.9912232087
11,1994,3923.08917312103
1,1995,2150118.3884628
2,1995,362522.153182615
3,1995,1062168.63098073
4,1995,7486611.99402149
5,1995,964483.838663418
6,1995,2925043.30674463
7,1995,10979.1776049114
8,1995,1594.26491958456
9,1995,56.4447209184105
10,1995,81536.8630258081
11,1995,3937.23129219459
1,1996,2171362.43493646
2,1996,366104.019888778
3,1996,1072663.29019601
4,1996,7560582.773484
5,1996,974013.332295771
6,1996,2953943.92741715
7,1996,11087.656356841
8,1996,1610.01690711451
9,1996,57.0024177786475
10,1996,82342.4804823777
11,1996,3976.13274292295
1,1997,2207351.70598932
2,1997,372172.01507619
3,1997,1090442.15994073
4,1997,7685895.73753576
5,1997,990157.127205865
6,1997,3002904.10420214
7,1997,11271.4288415939
8,1997,1636.70215041501
9,1997,57.9472049920104
10,1997,83707.2668494828
11,1997,4042.03519970531
1,1998,2244121.41947627
2,1998,378371.597283719
3,1998,1108606.57193104
4,1998,7813926.16576017
5,1998,1006651.00707812
6,1998,3052926.00295107
7,1998,11459.1865097395
8,1998,1663.96607440634
9,1998,58.9124803122704
10,1998,85101.6491812513
11,1998,4109.36677889771
1,1999,2284698.10965635
2,1999,385213.057350307
3,1999,1128651.64837408
4,1999,7955212.30935577
5,1999,1024852.59175138
6,1999,3108126.95219087
7,1999,11666.3837926878
8,1999,1694.05278686556
9,1999,59.977696053551
10,1999,86640.3998133126
11,1999,4183.66957783564
1,2000,2320370.82450195
2,2000,391227.679366048
3,2000,1146274.13785849
4,2000,8079423.03945113
5,2000,1040854.38827313
6,2000,3156656.48263554
7,2000,11848.5398423457
8,2000,1720.50331078547
9,2000,60.9141730608947
10,2000,87993.1817251051
11,2000,4248.99236653476
1,2001,2356065.51482756
2,2001,397246.006572337
3,2001,1163907.48333373
4,2001,8203710.28714339
5,2001,1056866.04238942
6,2001,3205215.90875062
7,2001,12030.8081056841
8,2001,1746.9701290346
9,2001,61.8512269666279
10,2001,89346.7969918014
11,2001,4314.3553960634
1,2002,2418892.73571005
2,2002,407839.032293625
3,2002,1194944.42695095
4,2002,8422471.74136554
5,2002,1085048.60177519
6,2002,3290686.7102236
7,2002,12351.6235641227
8,2002,1793.55511467326
9,2002,63.5005617045755
10,2002,91729.3330097601
11,2002,4429.40268898806
1,2003,2478029.24999051
2,2003,417809.783952557
3,2003,1224158.14408918
4,2003,8628382.32725343
5,2003,1111575.61191772
6,2003,3371136.63624089
7,2003,12653.5931192432
8,2003,1837.4035235282
9,2003,65.0530083338211
10,2003,93971.9099257953
11,2003,4537.69167241599
1,2004,2512224.82082769
2,2004,423575.351111892
3,2004,1241050.91746232
4,2004,8747449.71077322
5,2004,1126914.8023564
6,2004,3417656.64468988
7,2004,12828.2064091612
8,2004,1862.75877804972
9,2004,65.9507074851364
10,2004,95268.6755320063
11,2004,4600.30956000629
1,2005,2531172.11040072
2,2005,426769.971580163
3,2005,1250410.96792958
4,2005,8813423.28977836
5,2005,1135414.03415578
6,2005,3443432.73350617
7,2005,12924.9572013363
8,2005,1876.80777146775
9,2005,66.4481100829881
10,2005,95987.1952948791
11,2005,4635.00525946615
1,2006,2561061.61262163
2,2006,431809.511151948
3,2006,1265176.5230846
4,2006,8917497.14311737
5,2006,1148821.64091476
6,2006,3484094.72164706
7,2006,13077.5823568471
8,2006,1898.97017197106
9,2006,67.2327666955273
10,2006,97120.6660198275
11,2006,4689.73800538551
1,2007,2617193.96100377
2,2007,441273.743404406
3,2007,1292906.16809146
4,2007,9112947.36339608
5,2007,1174001.06504848
6,2007,3560457.74928687
7,2007,13364.2117004103
8,2007,1940.59105869048
9,2007,68.7063482229102
10,2007,99249.318853974
11,2007,4792.52585173873
1,2008,2664421.27474374
2,2008,449236.536317536
3,2008,1316236.68395944
4,2008,9277390.66818723
5,2008,1195185.93611888
6,2008,3624706.27564331
7,2008,13605.3691492914
8,2008,1975.60906046464
9,2008,69.9461555554192
10,2008,101040.274660015
11,2008,4879.00706993631
1,2009,2683899.82175282
2,2009,452520.72980218
3,2009,1325859.17810728
4,2009,9345214.06081845
5,2009,1203923.47535937
6,2009,3651205.09257346
7,2009,13704.8327082498
8,2009,1990.05196944476
9,2009,70.4575046772738
10,2009,101778.940785538
11,2009,4914.67559182895
1,2010,2712393.74286505
2,2010,457324.966484981
3,2010,1339935.30960843
4,2010,9444428.56579647
5,2010,1216705.06290374
6,2010,3689968.51773156
7,2010,13850.3315897207
8,2010,2011.1795776241
9,2010,71.2055246159343
10,2010,102859.488235977
11,2010,4966.85279213678
1,2011,2735266.16947458
2,2011,461181.387316268
3,2011,1351234.39629566
4,2011,9524069.28897997
5,2011,1226965.00297694
6,2011,3721084.40359264
7,2011,13967.1253604028
8,2011,2028.13897277416
9,2011,71.8059695698631
10,2011,103726.857179723
11,2011,5008.73608296332
1,2012,2763337.47270161
2,2012,465914.368227045
3,2012,1365101.75256706
4,2012,9621812.25818343
5,2012,1239557.01578794
6,2012,3759272.89500614
7,2012,14110.4662226477
8,2012,2048.95321919985
9,2012,72.5428949805604
10,2012,104791.378100273
11,2012,5060.13939827433
