"rgn_id","year","percent"
4,1980,7.5
8,1980,7.5
3,1980,7.5
5,1980,7.5
11,1980,7.5
1,1980,7.5
10,1980,7.5
7,1980,7.5
2,1980,7.5
6,1980,7.5
9,1980,7.5
4,1981,7.59999990463257
8,1981,7.59999990463257
3,1981,7.59999990463257
5,1981,7.59999990463257
11,1981,7.59999990463257
1,1981,7.59999990463257
10,1981,7.59999990463257
7,1981,7.59999990463257
2,1981,7.59999990463257
6,1981,7.59999990463257
9,1981,7.59999990463257
4,1982,11
8,1982,11
3,1982,11
5,1982,11
11,1982,11
1,1982,11
10,1982,11
7,1982,11
2,1982,11
6,1982,11
9,1982,11
4,1983,12
8,1983,12
3,1983,12
5,1983,12
11,1983,12
1,1983,12
10,1983,12
7,1983,12
2,1983,12
6,1983,12
9,1983,12
4,1984,11.3000001907349
8,1984,11.3000001907349
3,1984,11.3000001907349
5,1984,11.3000001907349
11,1984,11.3000001907349
1,1984,11.3000001907349
10,1984,11.3000001907349
7,1984,11.3000001907349
2,1984,11.3000001907349
6,1984,11.3000001907349
9,1984,11.3000001907349
4,1985,10.6000003814697
8,1985,10.6000003814697
3,1985,10.6000003814697
5,1985,10.6000003814697
11,1985,10.6000003814697
1,1985,10.6000003814697
10,1985,10.6000003814697
7,1985,10.6000003814697
2,1985,10.6000003814697
6,1985,10.6000003814697
9,1985,10.6000003814697
4,1986,9.69999980926514
8,1986,9.69999980926514
3,1986,9.69999980926514
5,1986,9.69999980926514
11,1986,9.69999980926514
1,1986,9.69999980926514
10,1986,9.69999980926514
7,1986,9.69999980926514
2,1986,9.69999980926514
6,1986,9.69999980926514
9,1986,9.69999980926514
4,1987,8.80000019073486
8,1987,8.80000019073486
3,1987,8.80000019073486
5,1987,8.80000019073486
11,1987,8.80000019073486
1,1987,8.80000019073486
10,1987,8.80000019073486
7,1987,8.80000019073486
2,1987,8.80000019073486
6,1987,8.80000019073486
9,1987,8.80000019073486
4,1988,7.80000019073486
8,1988,7.80000019073486
3,1988,7.80000019073486
5,1988,7.80000019073486
11,1988,7.80000019073486
1,1988,7.80000019073486
10,1988,7.80000019073486
7,1988,7.80000019073486
2,1988,7.80000019073486
6,1988,7.80000019073486
9,1988,7.80000019073486
4,1989,7.5
8,1989,7.5
3,1989,7.5
5,1989,7.5
11,1989,7.5
1,1989,7.5
10,1989,7.5
7,1989,7.5
2,1989,7.5
6,1989,7.5
9,1989,7.5
4,1990,8.10000038146973
8,1990,8.10000038146973
3,1990,8.10000038146973
5,1990,8.10000038146973
11,1990,8.10000038146973
1,1990,8.10000038146973
10,1990,8.10000038146973
7,1990,8.10000038146973
2,1990,8.10000038146973
6,1990,8.10000038146973
9,1990,8.10000038146973
4,1991,10.3000001907349
8,1991,10.3000001907349
3,1991,10.3000001907349
5,1991,10.3000001907349
11,1991,10.3000001907349
1,1991,10.3000001907349
10,1991,10.3000001907349
7,1991,10.3000001907349
2,1991,10.3000001907349
6,1991,10.3000001907349
9,1991,10.3000001907349
4,1992,11.1999998092651
8,1992,11.1999998092651
3,1992,11.1999998092651
5,1992,11.1999998092651
11,1992,11.1999998092651
1,1992,11.1999998092651
10,1992,11.1999998092651
7,1992,11.1999998092651
2,1992,11.1999998092651
6,1992,11.1999998092651
9,1992,11.1999998092651
4,1993,11.3999996185303
8,1993,11.3999996185303
3,1993,11.3999996185303
5,1993,11.3999996185303
11,1993,11.3999996185303
1,1993,11.3999996185303
10,1993,11.3999996185303
7,1993,11.3999996185303
2,1993,11.3999996185303
6,1993,11.3999996185303
9,1993,11.3999996185303
4,1994,10.3999996185303
8,1994,10.3999996185303
3,1994,10.3999996185303
5,1994,10.3999996185303
11,1994,10.3999996185303
1,1994,10.3999996185303
10,1994,10.3999996185303
7,1994,10.3999996185303
2,1994,10.3999996185303
6,1994,10.3999996185303
9,1994,10.3999996185303
4,1995,9.5
8,1995,9.5
3,1995,9.5
5,1995,9.5
11,1995,9.5
1,1995,9.5
10,1995,9.5
7,1995,9.5
2,1995,9.5
6,1995,9.5
9,1995,9.5
4,1996,9.60000038146973
8,1996,9.60000038146973
3,1996,9.60000038146973
5,1996,9.60000038146973
11,1996,9.60000038146973
1,1996,9.60000038146973
10,1996,9.60000038146973
7,1996,9.60000038146973
2,1996,9.60000038146973
6,1996,9.60000038146973
9,1996,9.60000038146973
4,1997,9.10000038146973
8,1997,9.10000038146973
3,1997,9.10000038146973
5,1997,9.10000038146973
11,1997,9.10000038146973
1,1997,9.10000038146973
10,1997,9.10000038146973
7,1997,9.10000038146973
2,1997,9.10000038146973
6,1997,9.10000038146973
9,1997,9.10000038146973
4,1998,8.30000019073486
8,1998,8.30000019073486
3,1998,8.30000019073486
5,1998,8.30000019073486
11,1998,8.30000019073486
1,1998,8.30000019073486
10,1998,8.30000019073486
7,1998,8.30000019073486
2,1998,8.30000019073486
6,1998,8.30000019073486
9,1998,8.30000019073486
4,1999,7.59999990463257
8,1999,7.59999990463257
3,1999,7.59999990463257
5,1999,7.59999990463257
11,1999,7.59999990463257
1,1999,7.59999990463257
10,1999,7.59999990463257
7,1999,7.59999990463257
2,1999,7.59999990463257
6,1999,7.59999990463257
9,1999,7.59999990463257
4,2000,6.80000019073486
8,2000,6.80000019073486
3,2000,6.80000019073486
5,2000,6.80000019073486
11,2000,6.80000019073486
1,2000,6.80000019073486
10,2000,6.80000019073486
7,2000,6.80000019073486
2,2000,6.80000019073486
6,2000,6.80000019073486
9,2000,6.80000019073486
4,2001,7.19999980926514
8,2001,7.19999980926514
3,2001,7.19999980926514
5,2001,7.19999980926514
11,2001,7.19999980926514
1,2001,7.19999980926514
10,2001,7.19999980926514
7,2001,7.19999980926514
2,2001,7.19999980926514
6,2001,7.19999980926514
9,2001,7.19999980926514
4,2002,7.69999980926514
8,2002,7.69999980926514
3,2002,7.69999980926514
5,2002,7.69999980926514
11,2002,7.69999980926514
1,2002,7.69999980926514
10,2002,7.69999980926514
7,2002,7.69999980926514
2,2002,7.69999980926514
6,2002,7.69999980926514
9,2002,7.69999980926514
4,2003,7.59999990463257
8,2003,7.59999990463257
3,2003,7.59999990463257
5,2003,7.59999990463257
11,2003,7.59999990463257
1,2003,7.59999990463257
10,2003,7.59999990463257
7,2003,7.59999990463257
2,2003,7.59999990463257
6,2003,7.59999990463257
9,2003,7.59999990463257
4,2004,7.19999980926514
8,2004,7.19999980926514
3,2004,7.19999980926514
5,2004,7.19999980926514
11,2004,7.19999980926514
1,2004,7.19999980926514
10,2004,7.19999980926514
7,2004,7.19999980926514
2,2004,7.19999980926514
6,2004,7.19999980926514
9,2004,7.19999980926514
4,2005,6.69999980926514
8,2005,6.69999980926514
3,2005,6.69999980926514
5,2005,6.69999980926514
11,2005,6.69999980926514
1,2005,6.69999980926514
10,2005,6.69999980926514
7,2005,6.69999980926514
2,2005,6.69999980926514
6,2005,6.69999980926514
9,2005,6.69999980926514
4,2006,6.30000019073486
8,2006,6.30000019073486
3,2006,6.30000019073486
5,2006,6.30000019073486
11,2006,6.30000019073486
1,2006,6.30000019073486
10,2006,6.30000019073486
7,2006,6.30000019073486
2,2006,6.30000019073486
6,2006,6.30000019073486
9,2006,6.30000019073486
4,2007,6
8,2007,6
3,2007,6
5,2007,6
11,2007,6
1,2007,6
10,2007,6
7,2007,6
2,2007,6
6,2007,6
9,2007,6
4,2008,6.09999990463257
8,2008,6.09999990463257
3,2008,6.09999990463257
5,2008,6.09999990463257
11,2008,6.09999990463257
1,2008,6.09999990463257
10,2008,6.09999990463257
7,2008,6.09999990463257
2,2008,6.09999990463257
6,2008,6.09999990463257
9,2008,6.09999990463257
4,2009,8.30000019073486
8,2009,8.30000019073486
3,2009,8.30000019073486
5,2009,8.30000019073486
11,2009,8.30000019073486
1,2009,8.30000019073486
10,2009,8.30000019073486
7,2009,8.30000019073486
2,2009,8.30000019073486
6,2009,8.30000019073486
9,2009,8.30000019073486
4,2010,8
8,2010,8
3,2010,8
5,2010,8
11,2010,8
1,2010,8
10,2010,8
7,2010,8
2,2010,8
6,2010,8
9,2010,8
4,2011,7.40000009536743
8,2011,7.40000009536743
3,2011,7.40000009536743
5,2011,7.40000009536743
11,2011,7.40000009536743
1,2011,7.40000009536743
10,2011,7.40000009536743
7,2011,7.40000009536743
2,2011,7.40000009536743
6,2011,7.40000009536743
9,2011,7.40000009536743
4,2012,7.19999980926514
8,2012,7.19999980926514
3,2012,7.19999980926514
5,2012,7.19999980926514
11,2012,7.19999980926514
1,2012,7.19999980926514
10,2012,7.19999980926514
7,2012,7.19999980926514
2,2012,7.19999980926514
6,2012,7.19999980926514
9,2012,7.19999980926514
