"layer","targets","layer_old","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na","clip_n_ship_disag","clip_n_ship_disag_description"
"ao_access","AO","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009).

Data sources:

- Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., Worm, B. (2009). **Management Effectiveness of the Worldï¿s Marine Fisheries**. _PLoS Biol_, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](http://dx.doi.org/10.1371/journal.pbio.1000131)","value","value","ao_access.csv","rgn_id","","","","value","",TRUE,,,0,0.854,TRUE,,,,241,FALSE,"equal","global management effectiveness scores were applied equally to all regions."
"ao_need","AO","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP.

Data sources:

- The World Bank [GDP per capita, PPP (current international $)](http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD)","value","value","ao_need.csv","rgn_id","","","year","value","",TRUE,1990,2013,0.0013238907967184,1,TRUE,,,,241,FALSE,"equal","global purchasing power parity information was applied equally to all regions."
"cw_coastalpopn_trend","CW","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","trend","trend score","cw_coastalpopn_trend.csv","rgn_id","","","","trend","",TRUE,,,-0.189382246579428,0.270753851039487,FALSE,,,,241,FALSE,"equal","global trends were applied equally to all regions."
"cw_fertilizer_trend","CW","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).","trend.score","trend score","cw_fertilizer_trend.csv","rgn_id","","","","trend.score","",TRUE,,,-1,1,FALSE,,,,241,FALSE,"equal","global trends were applied equally to all regions."
"cw_pathogen_trend","CW","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities.

Data sources:

- [World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)](http://www.wssinfo.org/data-estimates/table)
","trend","trend score","cw_pathogen_trend.csv","rgn_id","","","","trend","",TRUE,,,-0.015098791960566,0.13425692875753,FALSE,,,,241,FALSE,"equal","global trends were applied equally to all regions."
"cw_pesticide_trend","CW","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticide consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).
","trend.score","trend score","cw_pesticide_trend.csv","rgn_id","","","","trend.score","",TRUE,,,-1,1,FALSE,,,,241,FALSE,"equal","global trends were applied equally to all regions."
"fis_b_bmsy","FIS","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method","The ratio of population abundance compared to the abundance required to deliver maximum sustainable yield, obtained from the catch-MSY model (Martell & Froese, 2013).

Data sources:

- Martell, S., & Froese, R. (2013). **A simple method for estimating MSY from catch and resilience**. _Fish and Fisheries_ 14(4): 504-514. [doi:10.1111/j.1467-2979.2012.00485.x](https://dx/doi/org/10.1111/j.1467-2979.2012.00485.x)
","b_bmsy","B / B_msy","fis_b_bmsy.csv","fao_id","","taxon_name","year","b_bmsy","",TRUE,1954,2011,0.0543516096887502,1.98695925324803,FALSE,,,,241,FALSE,"equal","global b_bmsy information was applied equally to all regions."
"fis_meancatch","FIS","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Mean catch-per-taxon values within each FAO major fishing area.

Data sources:

- [FAO Major Fishing Areas](http://www.fao.org/fishery/area/search/en)","mean_catch","metric tons","fis_meancatch.csv","","fao_saup_id","taxon_name_key","year","mean_catch","",TRUE,2006,2011,8.17638e-18,4787769.75544375,FALSE,,,,241,FALSE,"equal","global mean catch information was applied equally to all regions."
"fis_proparea_saup2rgn","FIS","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","Lookup table of Sea Around Us Project regions to Ocean Health Index region identifiers.

Data sources:

- [Sea Around Us Project (SAUP)](http://www.seaaroundus.org)
","prop_area","proportion of area","fis_proparea_saup2rgn.csv","saup_id","","rgn_id","","prop_area","",TRUE,,,1.79195021000782e-05,1,TRUE,,,,241,FALSE,"area_offshore","global proportional area were applied to each region after weighting by each region's offshore area."
"fp_wildcaught_weight","FP","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportion of wild caught fisheries yield to mariculture yield, based on FAO fisheries statistics.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","w_fis","value","fp_wildcaught_weight.csv","rgn_id","","","","w_fis","",TRUE,,,0.109104661304031,1,TRUE,,,,241,FALSE,"equal","global weights were applied equally to all regions. "
"hab_extent","HAB CS CP","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","km2","km^2","hab_extent.csv","rgn_id","","habitat","","km2","",TRUE,,,0,3804040,FALSE,,,,241,FALSE,"raster | area_offshore",""
"hab_health","HAB CS CP","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","health","value","hab_health.csv","rgn_id","","habitat","","health","",TRUE,,,0,1,TRUE,,,,241,FALSE,"equal","global habitat health was applied equally to all regions. "
"hab_trend","HAB CS CP","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","trend","trend score","hab_trend.csv","rgn_id","","habitat","","trend","",TRUE,,,-1,1,FALSE,,,,241,FALSE,"equal","global trends were applied equally to all regions."
"ico_spp_extinction_status","ICO","rnk_ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","category","category","ico_spp_extinction_status.csv","rgn_id","","sciname","","","category",TRUE,,,,,FALSE,,,,241,,"equal","global status was applied equally to all regions. "
"ico_spp_popn_trend","ICO","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","popn_trend","trend score","ico_spp_popn_trend.csv","rgn_id","","sciname","","","popn_trend",TRUE,,,,,FALSE,,,,241,,"equal","global trends were applied equally to all regions."
"le_gdp","LE","","GDP","Gross Domestic Product (GDP) data (reported in 2012 US dollars) from The World Bank.

Data sources:

- [The World Bank](data.worldbank.org/indicator/NY.GDP.MKTP.CD)
","usd","2010 USD","le_gdp.csv","","cntry_key","","year","usd","",TRUE,1996,2011,22820838.02,14675462506263.5,FALSE,,,,241,FALSE,"population_inland25km","global GDP data were applied to each region after weighting by each region's coastal population."
"le_gdp_pc_ppp","LE","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","usd","USD","le_gdp_pc_ppp.csv","","cntry_key","","year","usd","",TRUE,1980,2012,82.65764088,86506.63612,FALSE,,,,241,FALSE,"population_inland25km",""
"le_jobs_cur_adj_value","LE","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_cur_adj_value.csv","","cntry_key","sector","","value","",TRUE,,,62.41711597,98.8240774,FALSE,,,,241,FALSE,"population_inland25km",""
"le_jobs_cur_base_value","LE","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_cur_base_value.csv","","cntry_key","sector","","value","",TRUE,,,0,7976022.6343,FALSE,,,,241,FALSE,"population_inland25km",""
"le_jobs_ref_adj_value","LE","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_ref_adj_value.csv","","cntry_key","sector","","value","",TRUE,,,69.70000277,98.89999998,FALSE,,,,241,FALSE,"population_inland25km",""
"le_jobs_ref_base_value","LE","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_ref_base_value.csv","","cntry_key","sector","","value","",TRUE,,,0,8148031.2004,FALSE,,,,241,FALSE,"population_inland25km",""
"le_jobs_sector_year","LE","","Jobs","gapfilled","value","jobs","le_jobs_sector_year.csv","","cntry_key","sector","year","value","",TRUE,1990,2010,0,9966925.101,FALSE,,,,241,FALSE,"equal","global trends were applied equally to each region. "
"le_rev_cur_adj_value","LE","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_cur_adj_value.csv","","cntry_key","sector","","value","",TRUE,,,27001199.73,13919727042705.6,FALSE,,,,241,FALSE,"population_inland25km",""
"le_rev_cur_base_value","LE","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_cur_base_value.csv","","cntry_key","sector","","value","",TRUE,,,0,1319580686744.52,FALSE,,,,241,FALSE,"population_inland25km",""
"le_rev_ref_adj_value","LE","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_ref_adj_value.csv","","cntry_key","sector","","value","",TRUE,,,22820838.02,13667652066195.1,FALSE,,,,241,FALSE,"population_inland25km",""
"le_rev_ref_base_value","LE","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_ref_base_value.csv","","cntry_key","sector","","value","",TRUE,,,0,284189642760,FALSE,,,,241,FALSE,"population_inland25km",""
"le_rev_sector_year","LE","","Revenue","gapfilled","value","2010 USD","le_rev_sector_year.csv","","cntry_key","sector","year","value","",TRUE,1996,2012,0,1319580686744.52,FALSE,,,,241,FALSE,"equal","global trends were applied equally to each region. "
"le_revenue_adj","LE","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","usd","USD","le_revenue_adj.csv","","cntry_key","","year","usd","",TRUE,1996,2011,22820838.02,14675462506263.5,FALSE,,,,241,FALSE,"population_inland25km",""
"le_unemployment","LE","","Unemployment","gapfilled","percent","percent unemployed","le_unemployment.csv","","cntry_key","","year","percent","",TRUE,1990,2010,0.517311849999999,37.58288403,FALSE,,,,241,FALSE,"equal","global unemployment percentages were applied equally to each region. "
"le_wage_cur_adj_value","LE","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_cur_adj_value.csv","","cntry_key","sector","","value","",TRUE,,,1,1,TRUE,,,,241,FALSE,"equal","global wage data were applied equally to all regions."
"le_wage_cur_base_value","LE","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_cur_base_value.csv","","cntry_key","sector","","value","",TRUE,,,0,436558.72173255,FALSE,,,,241,FALSE,"equal","global wage data were applied equally to all regions."
"le_wage_ref_adj_value","LE","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_ref_adj_value.csv","","cntry_key","sector","","value","",TRUE,,,1,1,TRUE,,,,241,FALSE,"equal","global wage data were applied equally to all regions."
"le_wage_ref_base_value","LE","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_ref_base_value.csv","","cntry_key","sector","","value","",TRUE,,,0,170878.277466168,FALSE,,,,241,FALSE,"equal","global wage data were applied equally to all regions."
"le_wage_sector_year","LE","","Wages","gapfilled","value","2010 USD","le_wage_sector_year.csv","","cntry_key","sector","year","value","",TRUE,1993,2008,0,436558.72173255,FALSE,,,,241,FALSE,"equal","global wages were applied equally to each region. "
"le_workforcesize_adj","LE","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","jobs","jobs","le_workforcesize_adj.csv","","cntry_key","","year","jobs","",TRUE,1990,2012,0,791711771.342352,FALSE,,,,241,FALSE,"population_inland25km","global workforce data were applied to each region after weighting by each region's coastal population."
"le_sector_weight","LE pressures","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","le_sector_weight.csv","rgn_id","","sector","","weight","",TRUE,,,1,1,TRUE,,,,241,FALSE,"equal",""
"le_popn","LIV ECO","rny_le_popn","Total population by subregion","Population data from The World Bank","count","count","le_popn.csv","rgn_id","","","year","count","",TRUE,1960,2012,0,1350695000,FALSE,,,,241,FALSE,"equal",""
"liveco_status","LIV ECO","rn_liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach","value","status score","liveco_status.csv","rgn_id","","component","","value","",TRUE,,,0.000380686126825058,1,TRUE,,,,241,FALSE,"equal",""
"liveco_trend","LIV ECO","rn_liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach","value","trend score","liveco_trend.csv","rgn_id","","component","","value","",TRUE,,,-0.998437811712268,0.999964535332029,FALSE,,,,241,FALSE,"equal",""
"lsp_prot_area_inland1km","LSP","rny_lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km from the UN WDPA. 

Data sources:

- United Nations - World Conservation Monitoring Centreâs World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net)","area_km2","km^2","lsp_prot_area_inland1km.csv","rgn_id","","","year","area_km2","",TRUE,0,2013,1,33968,FALSE,,,,241,FALSE,"raster | area_inland1km",""
"lsp_prot_area_offshore3nm","LSP","rny_lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal protected areas offshore to 3nm from the UN WDPA. 

Data sources:

- United Nations - World Conservation Monitoring Centreâs World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net)","area_km2","km^2","lsp_prot_area_offshore3nm.csv","rgn_id","","","year","area_km2","",TRUE,0,2013,0,56510,FALSE,,,,241,FALSE,"raster | area_offshore3nm",""
"mar_coastalpopn_inland25mi","MAR","mar_coastalpopn_inland25mi","Coastal population inland 25 miles","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","popsum","people","mar_coastalpopn_inland25mi.csv","rgn_id","","","year","popsum","",TRUE,2005,2015,0,222071000,FALSE,,,,241,FALSE,"raster","spatial data was extracted for each region. "
"mar_harvest_species","MAR","mar_harvest_species","Mariculture species harvested","Lookup table for mariculture: species Latin names and species code. 

Data sources:

- [FAO global aquaculture production](http://www.fao.org/fishery/statistics/global-aquaculture-production/en)","species","species name","mar_harvest_species.csv","","","species_code","","","species",TRUE,,,,,FALSE,,,,241,,"equal","global mariculture species were applied equally to each region."
"mar_harvest_tonnes","MAR","mar_harvest_tonnes","Mariculture harvest","Mariculture harvest from the FAO. 

Data sources:

- [FAO global aquaculture production](http://www.fao.org/fishery/statistics/global-aquaculture-production/en)","tonnes","tons","mar_harvest_tonnes.csv","rgn_id","","species_code","year","tonnes","",TRUE,2003,2012,0,3948817,FALSE,,,,241,FALSE,"area_offshore_3nm","global mariculture harvest (tonnes) data were applied to each region after weighting by each region's offshore area to 3nm. "
"mar_sustainability_score","MAR","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability and mariculture regulations indicated by the Mariculture Sustainability Index (MSI). 

Data sources:

- Trujillo P. (2008). **Using a mariculture sustainability index to rank countriesâ performances**. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countriesâ Exclusive Economic Zones, Alder J, Pauly D, editors. _Fisheries Centre Research Report_, vol. 16(7) p. 28â56.","sust_coeff","sustainability","mar_sustainability_score.csv","rgn_id","","species","","sust_coeff","",TRUE,,,0.1,1,TRUE,,,,241,FALSE,"equal","global mariculture sustainability scores were applied equally to each region."
"mar_trend_years","MAR","mar_trend_years","Mariculture years used for trend","Mariculture years used for trend","trend_yrs","year string","mar_trend_years.csv","rgn_id","","","","","trend_yrs",TRUE,,,,,FALSE,,,,241,,"equal","global trends were applied equally to each region."
"np_blast","NP","","Areas of observed blast (dynamite) fishing","The presence of destructive artisanal blast fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](http://www.wri.org/publication/reefs-at-risk-revisited) 
","score","pressure score","np_blast.csv","rgn_id","","","","score","",TRUE,,,0.006865107932434,0.874460499155564,TRUE,,,,241,FALSE,"equal","global scores were applied equally to each region. "
"np_cyanide","NP","","Areas of observed poison fishing","The presence of destructive artisanal poison (cyanide) fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](www.wri.org/publication/reefs-at-risk-revisited) 
","score","pressure score","np_cyanide.csv","rgn_id","","","","score","",TRUE,,,0.00565484574373731,0.495137734714806,TRUE,,,,241,FALSE,"equal","global scores were applied equally to each region. "
"np_harvest_product_weight","NP","","Ratio of product peak harvest value (in 2010 USD) divided by sum of all product peak harvest values, per region","Ratio of harvest of of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","weight","score","np_harvest_product_weight.csv","rgn_id","","product","","weight","",TRUE,,,0.000111858053963259,1,TRUE,,,,241,FALSE,"equal","global weights were applied equally to each region. "
"np_harvest_tonnes","NP","rnky_np_harvest_relative","Harvest yield of marine natural products, smoothed","Yield in metric tonnes of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","tonnes","metric tonnes","np_harvest_tonnes.csv","rgn_id","","product","year","tonnes","",TRUE,1976,2011,0,298403.75,FALSE,,,,241,FALSE,"area_offshore_3nm","global harvest (tonnes) was applied to each region after weighting by each region's offshore area to 3nm. "
"np_harvest_tonnes_relative","NP","rnky_np_harvest_relative","Harvest ratio to peak yeild of marine natural products","Ratio to max yield (tonnes) of product peak for six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","tonnes_rel","score","np_harvest_tonnes_relative.csv","rgn_id","","product","year","tonnes_rel","",TRUE,1976,2011,0,1,TRUE,,,,241,FALSE,"equal","global scores were applied equally to each region. "
"np_harvest_usd","NP","rnky_np_harvest_relative","Harvest value of marine natural products, smoothed","Value in 2010 US dollars of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)
","usd","2010 USD","np_harvest_usd.csv","rgn_id","","product","year","usd","",TRUE,1976,2011,0,312377.5,FALSE,,,,241,FALSE,"equal","global harvest (usd), used as a weighting score, was applied equally to all regions. "
"np_harvest_usd_relative","NP","rnky_np_harvest_relative","Harvest ratio to peak value of marine natural products","Ratio to max value (2010 USD) of product peak of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)
","usd_rel","score","np_harvest_usd_relative.csv","rgn_id","","product","year","usd_rel","",TRUE,1976,2011,0,1,TRUE,,,,241,FALSE,"equal","global scores were applied equally to each region. "
"spp_status","SPP","rn_spp_status","Species lists and IUCN threat categories as a proxy for iconic species status","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists.

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","score","status score","spp_status.csv","rgn_id","","","","score","",TRUE,,,0.743259450182977,0.930308754120408,TRUE,,,,241,FALSE,"equal","global scores were applied equally to each region. "
"spp_trend","SPP","rn_spp_trend","Species lists and IUCN threat categories as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists.

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","score","trend score","spp_trend.csv","rgn_id","","","","score","",TRUE,,,-0.464904077028102,0.0977703458133595,FALSE,,,,241,FALSE,"equal","global trends were applied equally to each region. "
"tr_jobs_total","TR","tr_jobs_total","Total labor force","Total labor force (number of people 15 years old and older who can supply labor for the production of goods and services) from World Bank assessments.

Data sources:

- [The World Bank](http://data.worldbank.org/indicator/SL.TLF.TOTL.IN)
","count","jobs","tr_jobs_total.csv","rgn_id","","","year","count","",TRUE,1990,2012,0,791711771.342352,FALSE,,,,241,FALSE,"population_inland25km","global total labor force data were applied to each region after weighting by each region's coastal population."
"tr_jobs_tourism","TR","tr_jobs_tourism","Direct employment in tourism","Direct employment in tourism (WTTC).

Data sources:

- [World Travel and Tourism Council (WTTC)](http://www.wttc.org/research/economic-data-search-tool/)
","count","jobs","tr_jobs_tourism.csv","rgn_id","","","year","count","",TRUE,1988,2013,0,23676500,FALSE,,,,241,FALSE,"population_inland25km","global tourism employee data were applied to each region after weighting by each region's coastal population."
"tr_sustainability","TR","tr_sustainability","Sustainability index","Tourism Competitiveness Index (TTCI) from the World Economic Forum","score","score","tr_sustainability.csv","rgn_id","","","","score","",TRUE,,,2.59,5.39,FALSE,,,,241,FALSE,"equal ","global scores were applied equally to each region. "
"tr_unemployment","TR","tr_unemployment","Percent unemployment","Percent unemployment (The World Bank).

Data sources:

- [The World Bank](http://data.worldbank.org/indicator/SL.UEM.TOTL.ZS)
","percent","percent unemployed","tr_unemployment.csv","rgn_id","","","year","percent","",TRUE,1980,2012,0.100000001490116,59.5,FALSE,,,,241,FALSE,"equal","global unemployment percentages were applied equally to each region. "
"cc_acid","pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)","pressure_score","pressure score","cc_acid.csv","rgn_id","","","","pressure_score","",TRUE,,,0.0135662,0.974705,TRUE,,,,241,FALSE,"raster | equal",""
"cc_slr","pressures","cc_slr","Sea level rise","Modeled sea level rise (Nicholls and Cazenave 2010).

Data sources:

- Nicholls R.J. and Cazenave A. (2010). **Sea-level rise and its impact on coastal zones**. _Science_ 328: 1517-1520. [doi:10.1126/science.1185782](http://dx.doi.org/10.1126/science.1185782). 
- [AVISO Satellite Altimetry Data](http://www.aviso.oceanobs.com/en/news/ocean-indicators/mean-sea-level/processing-corrections.html)","pressure_score","pressure score","cc_slr.csv","rgn_id","","","","pressure_score","",TRUE,,,0,0.909090909090909,TRUE,,,,241,FALSE,"raster | equal",""
